序号,中文名,_id,name,province,district,commune,landarea_h,capital,developer,cdc_num,date_cdc,sub_decree,date_sub,cdc_status,cur_status,pre_status,com_invest,reference,referen_kh,last_updat,Latitude,Longitude,地理位置（省/市）,联系人姓名,联系电话,邮箱,总面积/公顷,已用,已进军企业,工人,土地售价（$/m²）,出租,厂房租金（$/m²/月）,电价（$/kWh）,水价（$/m³）,物业费（$/m²/月）,注册公司费用（$）一站式服务,免税年限,可租面积（m²）,可售面积（m²）,土地可否购买,是否可建化工,水库,发电厂支持,是否保税区,交通物流,污水价格,污水处理/立方/日,宿舍,食堂,调研工业园区同时，也要了解入住企业情况？都是哪里来的企业？什么行业较多？企业需求？也看看，除了中国人做的工业园区，还有哪国人再做？类型？,,,,,,
,,48,Kampong Seila SEZ,Preah Sihanouk,Kampong Seila,Kampong Seila,74.8654,,Not found,Not found,Not found,36,16-Feb-22,Not found,Not found,Not found,Not found,Sub_Decree_No_36__16.02.2022.pdf,,16.06.2022,11.088613,103.893569,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,Botum Sakor SEZ,Koh Kong,Not found,Not found,9968,,Royal Group,Not found,Not found,32,25-Jan-23,Not found,Not found,Not found,Not found,Sub_Decree_No_32__25.01.2023.pdf,,18/8/2023,11.086075,103.288261,not opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柬埔寨高新特区CSEZ,50,King Bridge International Prey Nob SEZ ,Preah Sihanouk,Prey Nob,Samrong,87.0118,,Not found,Not found,Not found,54,3-Mar-23,Not found,Not found,Not found,Not found,Sub_Decree_No_54__03.03.2023.pdf,,24/8/2023,10.719683,103.778046,not operating,,,,218,,,,,,2.2,0.137,0.55,,,3到9年,,,,,30立方,10兆瓦,,离西港港口40公里,0.3,无,,,,,,,,,
,,51,Jiangsu Special Economic Zone on National Road No. 6,Kampong Cham,Cheung Prey,Kouk Rovieng,688926,,Not found,Not found,Not found,78,25-Apr-23,Not found,Not found,Not found,Not found,Sub_Decree_No_78__25.04.2023.pdf,,25/09/2023,12.051812,104.99319,not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,LL Poipet SEZ,Banteay Meanchey,Poipet,Nimitt,58.4209,,Not found,Not found,Not found,235,8-Aug-23,Not found,Not found,Not found,Not found,Sub_Decree_No_235__08.08.2023.pdf,,5/12/2023,13.602621,102.639268,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,Grand Bokor SEZ,Preah Sihanouk,Prey Nob,Teuk Thla,142.0591,,Not found,Not found,Not found,79,28-Mar-24,Not found,Not found,Not found,Not found,Sub_Decree_No_79__28.03.2024.pdf,,2/5/2024,10.639426,103.911105,Not opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,KLPT SEZ,Kampong Chhnang,Kampong Leng,Trangel,98.1022,,Not found,Not found,Not found,145,28-Jun-24,Not found,Not found,Not found,Not found,Sub_Decree_No_145__28.06.2024.pdf,,12/8/2024,12.26337,104.760009,2024年6月建设中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,皇家工业园区,55,Royal Group Kandal SEZ,Kandal,Kadal Stung,Daeum Rues,11.45645,,Not found,Not found,Not found,144,28-Jun-24,Not found,Not found,Not found,Not found,Sub_Decree_No_144__28.06.2024.pdf,,12/8/2024,11.442865,104.763654,金边,,,,,,,,无,,3.5,0.137,0.3,0.06,3.5万,3到9年,无,无,无,无,,13兆瓦,有,离金边港口25公里,0.26,4500,,,,,,,,,
,,56,Srae Ambel SEZ,Koh Kong,Srae Ambel,Chrouy Svay,180.0004,,Not found,Not found,Not found,179,13-Aug-24,Not found,Not found,Not found,Not found,Sub_Decree_No_179__13.08.2024.pdf,,1/11/2024,10.992929,103.693784,2024年8月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,Fengfu Svay Rieng SEZ,Svay Rieng,Kampong Rou,"Prey Thum, Nhor",106.2379,,Not found,Not found,Not found,200,28-Aug-24,Not found,Not found,Not found,Not found,Sub_Decree_No_200__28.08.2024.pdf,,9/12/2024,10.983188,105.904181,2024年8月,,097 345 9068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,58,Pursat SEZ,Pursat,Krakor,Sna Ansa,138.3434,,Not found,Not found,Not found,218,16-Sep-24,Not found,Not found,Not found,Not found,Sub_Decree_No_218__16.09.2024.pdf,,24/12/2024,12.528618,104.162051,2024年9月,,010 918 420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,Koh Kong Zhejiang SEZ,Koh Kong,Srae Ambel,Boeung Preav;Chroy Svay,1012.8694,,Not found,Not found,Not found,247,31-Oct-24,Not found,Not found,Not found,Not found,Sub_Decree_No_247__31.10.2024.pdf,,2/1/2025,11.085816,103.791804,2024年10月,,098 508 508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,ISI SEZ,Preah Sihanouk,Prey Nob,Cheung Kou,206.1721,,"Golden Port SEZ Development Co., Ltd.",Not found,Not found,260,13-Nov-24,Not found,Not found,Not found,Not found,Sub_Decree_No_260__13.11.2024.pdf,,7/1/2025,10.763078,103.734496,2024年11月,,81888598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,Huaxiang International SEZ,Svay Rieng,Kampong Rou,Preah Ponlea,129.9603,,Not found,Not found,Not found,288,13-Dec-24,Not found,Not found,Not found,Not found,Sub_Decree_No_288__13.12.2024.pdf,,7/3/2025,11.031449,105.886152,2024年12月,,010 633 993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,Cambodia Binhai Prey Nob SEZ,Preah Sihanouk,Prey Nob,Teuk Thla,234.0623,,Not found,Not found,Not found,9,20-Jan-25,Not found,Not found,Not found,Not found,Sub_Decree_No_9__20.01.2025.pdf,,23/04/2025,10.65911,103.902844,2025年01月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,Kampot Funan SEZ,Kampot,Bokor Municipality,Preaek Tnoat,721,,Not found,Not found,Not found,25,27-Feb-25,Not found,Not found,Not found,Not found,Sub_Decree_No_25__27.02.2025.pdf,,7/5/2025,10.569547,103.98995,2025年02月,,61555163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64,Kampong Speu SEZ,Kampong Speu,Samraong Tong,Tumpoar Meas,276.3586,,Not found,Not found,Not found,49,2-Apr-25,Not found,Not found,Not found,Not found,Sub_Decree_No_49__02.04.2025.pdf,,11/6/2025,11.544464,104.333949,2025年4月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,加华51号路,,,,,,,,,,,,,,,,,,,,,,实居省,,017 998 928,,,,,,,,2,0.137,0.5,0.06,3万,3到9年,,,,,,无,,离金边港口45公里,无,无,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2025年4月,,099 888 039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
